model_name,pred_path,gt_path,num_pred,num_pred_images,num_gt_images,num_gt_instances,mAP_pct,wmAP_pct,mAP_tree_pct,mIoU_bestmatch_pct,pixel_mse,pixel_rmse,pixel_iou_pct,pixel_f1_pct,pixel_precision_pct,pixel_recall_pct,pixel_acc_pct,coco_ap,coco_ap50,coco_ap75,coco_ap_small,coco_ap_medium,coco_ap_large,coco_ar_1,coco_ar_10,coco_ar_100
DINOv3 Mask R-CNN (trees),Résulats post training/Output_DINOv3_MaskRCNN_Trees/coco_instances_results.json,test.json,71499,3561,3561,14418,0.00413997,0.00897135,0.0165195,11.039,,,,,,,,0.00413997,0.0183182,0.00105305,0,0.106354,0.0042677,0.0434274,0.209089,0.214848
DINOv3 ViT-Det RGB,Résulats post training/Output_DINOv3_vitdet_rgb/coco_instances_results.json,test.json,344431,3561,3561,14418,0.0576822,0.156572,0.342205,43.7679,,,,,,,,0.0576822,0.254508,0.00411054,0,0,0.0605862,0.0661837,0.621065,3.08912
Mask R-CNN RGB+DSM,Résulats post training/Output_mask_rcnn_RGB_DSM/coco_instances_results.json,test.json,15502,3325,3561,14418,36.0776,37.3549,39.7292,64.09,,,,,,,,36.0776,61.0563,38.6402,0,11.1909,39.3675,15.7266,43.9204,43.9424
Faster R-CNN,Résulats post training/output_faster_rcnn/coco_instances_results.json,test.json,14841,3536,3561,14418,0.00611114,0.0135239,0.061095,10.032,,,,,,,,0.00611114,0.0376545,0.000227288,0,0.00176803,0.00632279,0.0550871,0.176204,0.177202
Mask R-CNN RGB,Résulats post training/output_mask_rcnn_RGB/coco_instances_results.json,test.json,15928,3354,3561,14418,49.3047,49.8751,51.7042,73.2434,,,,,,,,49.3047,74.7814,56.4404,0,21.4323,53.4111,18.9245,56.9276,56.9304
Faster R-CNN + SAM,src/models/faster_rcnn_sam_predictions.json,test.json,14841,3536,3561,14418,0.486,0.951283,2.85607,12.6568,,,,,,,,0.486,0.94323,0.507942,0,0.287432,0.534208,0.832349,1.31973,1.32062
Mask R-CNN + SAM,src/models/mask_rcnn_sam_predictions.json,test.json,15928,3354,3561,14418,48.7628,49.6675,52.9711,72.9418,,,,,,,,48.7628,74.5318,54.6989,0,22.199,52.4929,19.1274,55.8879,55.8908
SAM2 OTB pps10,src/models/sam2_otb_pps10_predictions.json,test.json,53691,3561,3561,14418,0.0712941,0.0450323,22.4305,67.9478,,,,,,,,0.0712941,0.250698,0.00860647,0,0.00939329,0.0876965,0.0746678,3.06138,3.56868
SAM2 OTB pps3,src/models/sam2_otb_pps3_predictions.json,test.json,14013,3561,3561,14418,0.0121126,0.00765079,8.11586,30.2664,,,,,,,,0.0121126,0.0375472,0.00182985,0,0.000376098,0.0141047,0.0603931,0.905897,0.905897
SAM2 OTB pps5,src/models/sam2_otb_pps5_predictions.json,test.json,25930,3561,3561,14418,0.0439978,0.0277908,18.267,53.7657,,,,,,,,0.0439978,0.137726,0.00947129,0,0.000436625,0.053304,0.0944329,2.24443,2.2587
SAM3 OTB (descriptive prompts),src/models/sam3_otb_descriptive_predictions.json,test.json,2283,744,3561,14418,2.01809,6.32212,7.52844,10.6767,,,,,,,,2.01809,2.83516,2.44277,0,0.00753087,2.1822,0.959465,2.79686,2.79841
SAM3 OTB (generic prompts),src/models/sam3_otb_generic_predictions.json,test.json,1188,247,3561,14418,0.0508856,0.0494606,4.46649,5.71634,,,,,,,,0.0508856,0.0870887,0.0686504,0,0.0152323,0.0543464,0.255204,0.722356,0.722356
SAM + DSM prompts,src/models/sam_dsm_prompts_predictions.json,test.json,47029,3395,3561,14418,0.0751446,0.0474644,15.252,57.4778,,,,,,,,0.0751446,0.240274,0.0143169,0,0.00957142,0.105953,0.354672,2.68145,3.03283
SAM OTB pps10,src/models/sam_otb_pps10_predictions.json,test.json,124432,3561,3561,14418,0.0448804,0.0283483,17.5413,66.2448,,,,,,,,0.0448804,0.153061,0.00534186,0,0.00374259,0.0612089,0.0538048,2.67926,3.27989
SAM OTB pps3,src/models/sam_otb_pps3_predictions.json,test.json,22299,3561,3561,14418,0.0103909,0.00656335,6.50791,31.0554,,,,,,,,0.0103909,0.0363925,0.00194876,0,0.000303265,0.0133823,0.0439223,0.990447,0.990447
SAM OTB pps5,src/models/sam_otb_pps5_predictions.json,test.json,46116,3561,3561,14418,0.032432,0.0204854,14.5598,52.7863,,,,,,,,0.032432,0.106154,0.00465829,0,0.000584517,0.041022,0.0603931,2.10607,2.206
